Completion time,threads,time
Completion time,1,64593
Completion time (no IO),1,62476
Completion time,1,63820
Completion time (no IO),1,61730
Completion time,1,76041
Completion time (no IO),1,73908
Completion time,1,63160
Completion time (no IO),1,61047
Completion time,1,65833
Completion time (no IO),1,63766
Completion time,2,37274
Completion time (no IO),2,35195
Completion time,2,38703
Completion time (no IO),2,36523
Completion time,2,40181
Completion time (no IO),2,37976
Completion time,2,37659
Completion time (no IO),2,35470
Completion time,2,37186
Completion time (no IO),2,35172
Completion time,4,22844
Completion time (no IO),4,20687
Completion time,4,23306
Completion time (no IO),4,21272
Completion time,4,22515
Completion time (no IO),4,20383
Completion time,4,24075
Completion time (no IO),4,22046
Completion time,4,22804
Completion time (no IO),4,20661
Completion time,6,18886
Completion time (no IO),6,16623
Completion time,6,19046
Completion time (no IO),6,16816
Completion time,6,19215
Completion time (no IO),6,16993
Completion time,6,19009
Completion time (no IO),6,16825
Completion time,6,42595
Completion time (no IO),6,40392
Completion time,8,19087
Completion time (no IO),8,17033
Completion time,8,20875
Completion time (no IO),8,18778
Completion time,8,17862
Completion time (no IO),8,15848
Completion time,8,17640
Completion time (no IO),8,15621
Completion time,8,19071
Completion time (no IO),8,16784
Completion time,10,18350
Completion time (no IO),10,16311
Completion time,10,18858
Completion time (no IO),10,16632
Completion time,10,17150
Completion time (no IO),10,15146
Completion time,10,18805
Completion time (no IO),10,16644
Completion time,10,17634
Completion time (no IO),10,15509
Completion time,12,19583
Completion time (no IO),12,17283
Completion time,12,18780
Completion time (no IO),12,16556
Completion time,12,16128
Completion time (no IO),12,14122
Completion time,12,16828
Completion time (no IO),12,14713
Completion time,12,16024
Completion time (no IO),12,13695
Completion time,14,16170
Completion time (no IO),14,14149
Completion time,14,19212
Completion time (no IO),14,17061
Completion time,14,17801
Completion time (no IO),14,15776
Completion time,14,18631
Completion time (no IO),14,16352
Completion time,14,17915
Completion time (no IO),14,15835
Completion time,16,18543
Completion time (no IO),16,16335
Completion time,16,19728
Completion time (no IO),16,17657
Completion time,16,19414
Completion time (no IO),16,17240
Completion time,16,19378
Completion time (no IO),16,17233
Completion time,16,18332
Completion time (no IO),16,15961
Completion time,18,20910
Completion time (no IO),18,18868
Completion time,18,22549
Completion time (no IO),18,20231
Completion time,18,22349
Completion time (no IO),18,20273
Completion time,18,22328
Completion time (no IO),18,20078
Completion time,18,20975
Completion time (no IO),18,18873
Completion time,20,20339
Completion time (no IO),20,18046
Completion time,20,19937
Completion time (no IO),20,17743
Completion time,20,20987
Completion time (no IO),20,18692
Completion time,20,19728
Completion time (no IO),20,17659
Completion time,20,21971
Completion time (no IO),20,19657
Completion time,22,21221
Completion time (no IO),22,18868
Completion time,22,20794
Completion time (no IO),22,18696
Completion time,22,20707
Completion time (no IO),22,18404
Completion time,22,21946
Completion time (no IO),22,19622
Completion time,22,21015
Completion time (no IO),22,18921
Completion time,24,21798
Completion time (no IO),24,19380
Completion time,24,20692
Completion time (no IO),24,18399
Completion time,24,19617
Completion time (no IO),24,17507
Completion time,24,19853
Completion time (no IO),24,17764
Completion time,24,20370
Completion time (no IO),24,18302
Completion time,26,30361
Completion time (no IO),26,28000
Completion time,26,20230
Completion time (no IO),26,18141
Completion time,26,21367
Completion time (no IO),26,19041
Completion time,26,20326
Completion time (no IO),26,18215
Completion time,26,22165
Completion time (no IO),26,19816
Completion time,28,19888
Completion time (no IO),28,17703
Completion time,28,21000
Completion time (no IO),28,18662
Completion time,28,19569
Completion time (no IO),28,17502
Completion time,28,21452
Completion time (no IO),28,19086
Completion time,28,19616
Completion time (no IO),28,17504
Completion time,30,20679
Completion time (no IO),30,18153
Completion time,30,22285
Completion time (no IO),30,20103
Completion time,30,21138
Completion time (no IO),30,18786
Completion time,30,19691
Completion time (no IO),30,17563
Completion time,30,20469
Completion time (no IO),30,18229
Completion time,32,24065
Completion time (no IO),32,21931
Completion time,32,21350
Completion time (no IO),32,19096
Completion time,32,20495
Completion time (no IO),32,18433
Completion time,32,20624
Completion time (no IO),32,18185
Completion time,32,21766
Completion time (no IO),32,19661
Completion time,34,22941
Completion time (no IO),34,20662
Completion time,34,21061
Completion time (no IO),34,18898
Completion time,34,22426
Completion time (no IO),34,20154
Completion time,34,20567
Completion time (no IO),34,18382
Completion time,34,21888
Completion time (no IO),34,19582
Completion time,36,22268
Completion time (no IO),36,19892
Completion time,36,22388
Completion time (no IO),36,20262
Completion time,36,22104
Completion time (no IO),36,19758
Completion time,36,21799
Completion time (no IO),36,19519
Completion time,36,20769
Completion time (no IO),36,18713
Completion time,38,19712
Completion time (no IO),38,17700
Completion time,38,20467
Completion time (no IO),38,18214
Completion time,38,19649
Completion time (no IO),38,17555
Completion time,38,20317
Completion time (no IO),38,18206
Completion time,38,21169
Completion time (no IO),38,18995
Completion time,40,20070
Completion time (no IO),40,17759
Completion time,40,19842
Completion time (no IO),40,17745
Completion time,40,21009
Completion time (no IO),40,18811
Completion time,40,20720
Completion time (no IO),40,18504
Completion time,40,19951
Completion time (no IO),40,17855
Completion time,42,24531
Completion time (no IO),42,22330
Completion time,42,18191
Completion time (no IO),42,16094
Completion time,42,20002
