Completion time,threads,time
Completion time (no IO),42,17807
Completion time,42,21491
Completion time (no IO),42,19149
Completion time,42,31817
Completion time (no IO),42,29523
Completion time,44,46257
Completion time (no IO),44,43902
Completion time,44,38813
Completion time (no IO),44,36742
Completion time,44,46300
Completion time (no IO),44,44095
Completion time,44,45340
Completion time (no IO),44,42872
Completion time,44,46718
Completion time (no IO),44,44587
Completion time,46,24459
Completion time (no IO),46,22301
Completion time,46,22386
Completion time (no IO),46,19947
Completion time,46,18009
Completion time (no IO),46,15841
Completion time,46,19285
Completion time (no IO),46,17219
Completion time,46,21831
Completion time (no IO),46,19651
Completion time,48,18655
Completion time (no IO),48,16485
Completion time,48,19073
Completion time (no IO),48,16843
Completion time,48,21391
Completion time (no IO),48,19293
Completion time,48,21389
Completion time (no IO),48,18969
Completion time,48,22456
Completion time (no IO),48,20257
Completion time,50,38813
Completion time (no IO),50,36726
Completion time,50,21968
Completion time (no IO),50,19782
Completion time,50,19699
Completion time (no IO),50,17579
Completion time,50,20952
Completion time (no IO),50,18753
Completion time,50,19275
Completion time (no IO),50,17133
Completion time,52,38587
Completion time (no IO),52,36079
Completion time,52,46707
Completion time (no IO),52,44522
Completion time,52,50213
Completion time (no IO),52,48106
Completion time,52,38787
Completion time (no IO),52,36373
Completion time,52,46278
Completion time (no IO),52,44109
Completion time,54,42932
Completion time (no IO),54,40668
Completion time,54,49359
Completion time (no IO),54,47276
Completion time,54,34570
Completion time (no IO),54,32288
Completion time,54,43006
Completion time (no IO),54,40811
Completion time,54,46278
Completion time (no IO),54,44165
Completion time,56,45992
Completion time (no IO),56,43568
Completion time,56,46753
Completion time (no IO),56,44577
Completion time,56,50570
Completion time (no IO),56,48256
Completion time,56,40761
Completion time (no IO),56,38661
Completion time,56,38734
Completion time (no IO),56,36437
Completion time,58,50701
Completion time (no IO),58,48784
Completion time,58,46668
Completion time (no IO),58,44529
Completion time,58,58298
Completion time (no IO),58,56093
Completion time,58,58934
Completion time (no IO),58,56811
Completion time,58,42401
Completion time (no IO),58,40260
Completion time,60,46492
Completion time (no IO),60,44124
Completion time,60,46570
Completion time (no IO),60,44377
Completion time,60,40618
Completion time (no IO),60,38719
Completion time,60,42657
Completion time (no IO),60,40558
Completion time,60,51423
Completion time (no IO),60,49298
Completion time,62,59237
Completion time (no IO),62,56978
Completion time,62,42525
Completion time (no IO),62,40393
Completion time,62,36947
Completion time (no IO),62,34684
Completion time,62,33143
Completion time (no IO),62,30857
Completion time,62,46696
Completion time (no IO),62,44380
Completion time,64,38544
Completion time (no IO),64,36315
Completion time,64,46313
Completion time (no IO),64,44199
Completion time,64,46630
Completion time (no IO),64,44398
Completion time,64,50678
Completion time (no IO),64,48601
Completion time,64,42304
Completion time (no IO),64,39549
