Completion time,threads,time
Completion time (no IO),48,1730489
Completion time,48,1629547
Completion time (no IO),48,1470945
Completion time,48,1582045
Completion time (no IO),48,1423218
Completion time,50,1605244
Completion time (no IO),50,1445697
Completion time,50,1886613
Completion time (no IO),50,1695657
Completion time,50,1586480
Completion time (no IO),50,1428107
Completion time,50,1607157
Completion time (no IO),50,1449438
Completion time,50,1604690
Completion time (no IO),50,1446396
Completion time,52,1590217
Completion time (no IO),52,1429890
Completion time,52,1588133
Completion time (no IO),52,1428107
Completion time,52,1607736
Completion time (no IO),52,1450688
Completion time,52,1599862
Completion time (no IO),52,1442784
Completion time,52,1907146
Completion time (no IO),52,1718552
Completion time,54,1945016
Completion time (no IO),54,1755629
Completion time,54,1590440
Completion time (no IO),54,1396920
Completion time,54,1967107
Completion time (no IO),54,1778563
Completion time,54,1909811
Completion time (no IO),54,1716688
Completion time,54,1889307
Completion time (no IO),54,1700508
Completion time,56,1836218
Completion time (no IO),56,1649354
Completion time,56,2024077
Completion time (no IO),56,1835759
Completion time,56,1932070
Completion time (no IO),56,1745293
Completion time,56,1799642
Completion time (no IO),56,1612270
Completion time,56,1825269
Completion time (no IO),56,1637493
Completion time,58,1733717
Completion time (no IO),58,1546752
Completion time,58,1799939
Completion time (no IO),58,1611281
Completion time,58,1744792
Completion time (no IO),58,1550701
Completion time,58,1786764
Completion time (no IO),58,1599199
Completion time,58,1768438
Completion time (no IO),58,1580239
Completion time,60,1750379
Completion time (no IO),60,1562748
Completion time,60,1749447
Completion time (no IO),60,1563015
Completion time,60,1779939
Completion time (no IO),60,1591765
Completion time,60,1797953
Completion time (no IO),60,1608266
Completion time,60,1743919
Completion time (no IO),60,1554674
Completion time,62,1769994
Completion time (no IO),62,1581353
Completion time,62,1765530
Completion time (no IO),62,1569168
Completion time,62,1761943
Completion time (no IO),62,1572235
Completion time,62,1790210
Completion time (no IO),62,1599757
Completion time,62,1743221
Completion time (no IO),62,1553042
Completion time,64,1735583
Completion time (no IO),64,1543454
Completion time,64,1523362
Completion time (no IO),64,1332942
Completion time,64,1755930
Completion time (no IO),64,1563634
Completion time,64,1739068
Completion time (no IO),64,1548737
Completion time,64,1727183
Completion time (no IO),64,1537906
