Number of threads, time
1,1067534
2,530477
2,515096
4,238564
4,259501
4,251041
4,246954
6,165277
6,164578
6,162438
6,168259
6,167905
6,171219
8,118004
8,126030
8,121829
8,125273
8,117330
8,128414
8,125832
8,121771
10,96045
10,100877
10,93844
10,102180
10,96993
10,92109
10,101300
10,102651
10,100006
10,100502
12,61195
12,71638
12,79069
12,75579
12,78560
12,83436
12,79858
12,82865
12,78829
12,83837
12,81398
12,81627
14,73526
14,71545
14,73862
14,71537
14,73272
14,65088
14,72255
14,74483
14,74151
14,73621
14,74279
14,72641
14,70760
14,69125
16,52926
16,58382
16,61332
16,52392
16,61752
16,56515
16,53546
16,63601
16,63979
16,55520
16,63729
16,63903
16,58342
16,61711
16,58945
16,65195
18,46409
18,57278
18,56596
18,52972
18,53539
18,54147
18,55816
18,50004
18,55221
18,52091
18,50609
18,44178
18,55125
18,50725
18,55448
18,45462
18,56670
18,58159
20,37838
20,42079
20,48880
20,48110
20,47821
20,51258
20,46392
20,49869
20,47771
20,44357
20,51435
20,45773
20,50552
20,50268
20,48931
20,52056
20,46182
20,50035
20,45130
20,49077
22,38200
22,38102
22,30982
22,44976
22,43089
22,46388
22,43293
22,40441
22,37421
22,42121
22,46601
22,30844
22,41591
22,47227
22,45800
22,45078
22,37668
22,42660
22,46464
22,43740
22,47103
22,47443
24,38656
24,37031
24,40340
24,41763
24,39226
24,36803
24,43022
24,32223
24,43736
24,41337
24,38812
24,40160
24,32748
24,38224
24,42115
24,30645
24,41163
24,42911
24,43578
24,39990
24,43719
24,43399
24,43585
24,42194
26,33550
26,34194
26,31517
26,40043
26,36171
26,39433
26,33023
26,28962
26,39985
26,37940
26,36861
26,27265
26,33777
26,21164
26,36091
26,28102
26,40922
26,40381
26,40057
26,32950
26,41381
26,40054
26,40087
26,32436
26,38187
26,40134
28,28737
28,29192
28,37018
28,24103
28,35974
28,32891
28,36335
28,37131
28,33949
28,32936
28,31849
28,27977
28,19393
28,35676
28,32693
28,23187
28,34620
28,38968
28,36467
28,34485
28,37221
28,37486
28,27952
28,37227
28,36206
28,34041
28,37217
28,35046
30,18090
30,26634
30,33323
30,34537
30,32755
30,20576
30,18266
30,33659
30,34768
30,32481
30,24386
30,32717
30,32303
30,20728
30,25285
30,32438
30,33166
30,34653
30,34820
30,33667
30,34874
30,34662
30,28121
30,33758
30,33134
30,34890
30,31027
30,26366
30,34848
30,35041
32,16913
32,25905
32,28887
32,25786
32,29828
32,17418
32,31857
32,23683
32,28344
32,31129
32,34423
32,25806
32,32018
32,23639
32,28459
32,28393
32,18248
32,31441
32,29804
32,31529
32,32731
32,25397
32,32080
32,23844
32,32573
32,32577
32,32668
32,32623
32,27385
32,32649
32,32599
32,39871
34,17865
34,24058
34,23017
34,27913
34,17136
34,29872
34,28687
34,18125
34,28025
34,26692
34,18943
34,28442
34,28704
34,20675
34,24698
34,20772
34,30523
34,30713
34,16038
34,30657
34,28982
34,27151
34,30511
34,28070
34,31331
34,32220
34,30709
34,30154
34,25804
34,27323
34,30924
34,25242
34,30691
34,28291
36,15314
36,21483
36,26457
36,23388
36,24614
36,15178
36,24283
36,22613
36,23030
36,16787
36,23360
36,22760
36,21055
36,15190
36,27415
36,23348
36,27088
36,20568
36,26075
36,29020
36,25843
36,22964
36,20944
36,29267
36,29191
36,23709
36,28845
36,23989
36,29378
36,29031
36,29396
36,26487
36,29110
36,27068
36,29075
36,29048
38,22716
38,20960
38,24429
38,26671
38,23063
38,25285
38,19116
38,22074
38,19358
38,27512
38,20992
38,19155
38,26330
38,26798
38,17849
38,24985
38,21929
38,19386
38,21287
38,27480
38,19750
38,27598
38,21837
38,27564
38,27499
38,27814
38,27001
38,25008
38,27498
38,24714
38,22798
38,27923
38,27437
38,27523
38,24525
38,27523
38,27629
38,27030
40,20809
40,23489
40,21844
40,20712
40,16511
40,20637
40,16485
40,24953
40,20841
40,20041
40,18378
40,23591
40,13642
40,17879
40,22885
40,13570
40,20105
40,25444
40,17008
40,23343
40,25681
40,19844
40,26097
40,22167
40,13598
40,26131
40,25106
40,13594
40,13662
40,26090
40,25499
40,23895
40,26101
40,23808
40,25492
40,21022
40,22631
40,26476
40,26094
40,26117
42,13303
42,18910
42,23519
42,18615
42,15251
42,24475
42,23016
42,22050
42,24807
42,24037
42,20401
42,19919
42,23207
42,14329
42,20061
42,19613
42,18353
42,14914
42,24633
42,21370
42,24760
42,23810
42,20803
42,21447
42,21468
42,24866
42,16015
42,24365
42,24889
42,14273
42,24998
42,19568
42,19696
42,24910
42,13001
42,24854
42,24865
42,22426
42,20773
42,23111
42,24946
42,24886
44,15994
44,12366
44,17863
44,19544
44,22625
44,19816
44,20418
44,17732
44,12400
44,18293
44,18204
44,12336
44,13546
44,23459
44,19580
44,20434
44,17754
44,20049
44,15215
44,23989
44,21331
44,20608
44,12354
44,23991
44,23766
44,23548
44,23919
44,18188
44,23769
44,17765
44,24039
44,16886
44,24075
44,17763
44,21392
44,18325
44,17801
44,15743
44,23423
44,23913
44,23777
44,23043
44,23876
44,23746
46,21452
46,20423
46,17477
46,21426
46,18286
46,22027
46,18978
46,14507
46,20018
46,22628
46,21137
46,15156
46,21052
46,12035
46,18216
46,14667
46,16397
46,21198
46,11798
46,16159
46,19904
46,19113
46,18887
46,22725
46,12131
46,22670
46,22952
46,16213
46,22052
46,21215
46,22735
46,20849
46,14899
46,22772
46,19734
46,18991
46,13224
46,11955
46,22785
46,22930
46,20621
46,22748
46,19908
46,22791
46,22826
46,22804
48,11615
48,18144
48,18807
48,19744
48,19570
48,13057
48,14479
48,20144
48,18893
48,11726
48,20402
48,18147
48,12000
48,17842
48,11593
48,18327
48,13963
48,17148
48,17154
48,15040
48,19803
48,21610
48,19117
48,18160
48,21757
48,18185
48,21627
48,21725
48,12285
48,21047
48,12914
48,19756
48,21898
48,18909
48,21491
48,16355
48,21785
48,11413
48,21800
48,21812
48,16854
48,14698
48,22209
48,22097
48,22262
48,18723
48,21931
48,21776
50,10930
50,15300
50,10945
50,12395
50,18759
50,20257
50,14292
50,10944
50,19807
50,10889
50,16729
50,13693
50,12090
50,20400
50,18176
50,13441
50,16092
50,15239
50,17740
50,20871
50,14287
50,12040
50,17103
50,15783
50,19042
50,17402
50,15583
50,11512
50,15103
50,20895
50,16406
50,20862
50,18446
50,16581
50,10886
50,18087
50,16482
50,21718
50,20934
50,20925
50,16668
50,21228
50,20932
50,15653
50,20350
50,17134
50,20928
50,16581
50,20942
50,20954
52,10933
52,10451
52,10867
52,10600
52,14839
52,10612
52,10753
52,19270
52,10543
52,15955
52,18785
52,16062
52,16738
52,18405
52,10550
52,16354
52,14319
52,18623
52,20303
52,20204
52,18311
52,10570
52,13926
52,21120
52,20042
52,19987
52,14414
52,19339
52,19997
52,16298
52,19279
52,13641
52,20209
52,20089
52,14754
52,20141
52,20350
52,20093
52,10506
52,11864
52,17848
52,16942
52,20116
52,10875
52,13960
52,20159
52,19386
52,19505
52,15032
52,18781
52,20133
52,20171
54,10214
54,11511
54,11953
54,10433
54,10624
54,16714
54,12199
54,14697
54,11430
54,13714
54,14693
54,13464
54,10173
54,10154
54,13797
54,19640
54,16824
54,16420
54,19283
54,17336
54,13794
54,17244
54,19342
54,14126
54,11030
54,17979
54,17356
54,10215
54,19346
54,15703
54,10608
54,19339
54,12333
54,19712
54,19443
54,19019
54,19372
54,19491
54,19926
54,20571
54,17512
54,15109
54,21006
54,21336
54,19668
54,19033
54,12375
54,14221
54,18994
54,16813
54,20390
54,19612
54,20319
54,22181
56,9804
56,10175
56,9803
56,9823
56,17066
56,18393
56,9802
56,17301
56,14059
56,9829
56,17696
56,10304
56,10909
56,16911
56,18099
56,11455
56,15221
56,17741
56,12936
56,10906
56,10326
56,14383
56,17317
56,16415
56,12180
56,18756
56,12013
56,18914
56,11168
56,9799
56,18247
56,18608
56,11714
56,17901
56,13687
56,18666
56,16650
56,16309
56,9971
56,18734
56,18884
56,19117
56,18824
56,18400
56,14744
56,18716
56,15142
56,18721
56,18716
56,18716
56,16229
56,18737
56,18716
56,15159
56,18739
56,19035
58,9508
58,13484
58,13442
58,9437
58,14133
58,9870
58,14487
58,17939
58,10207
58,11144
58,16413
58,9903
58,14942
58,12271
58,13567
58,9455
58,16275
58,9411
58,16825
58,15135
58,16781
58,9607
58,12502
58,10092
58,18024
58,16323
58,9391
58,9476
58,15824
58,16739
58,12822
58,18050
58,17231
58,17070
58,12010
58,16530
58,9568
58,18135
58,18003
58,12824
58,17595
58,11485
58,19015
58,18067
58,17591
58,15000
58,18071
58,18127
58,14583
58,18093
58,18118
58,12420
58,18324
58,19065
58,18282
58,18268
58,18134
58,18086
60,9135
60,12747
60,9699
60,11125
60,9292
60,13850
60,11093
60,9563
60,15624
60,9139
60,9269
60,11719
60,9534
60,9101
60,15403
60,15340
60,9099
60,14494
60,16592
60,17053
60,17558
60,17695
60,14797
60,17529
60,16015
60,13545
60,15275
60,11476
60,9927
60,15455
60,17142
60,13780
60,17411
60,10145
60,17691
60,16162
60,17543
60,9499
60,17392
60,17537
60,17729
60,10208
60,16939
60,10358
60,17672
60,17450
60,17412
60,12325
60,17576
60,9775
60,17145
60,12207
60,11076
60,17854
60,17506
60,17683
60,16398
60,17490
60,17614
60,17799
62,8885
62,8867
62,8912
62,13487
62,8911
62,16267
62,13395
62,8967
62,10554
62,13179
62,16380
62,12739
62,10894
62,13933
62,12710
62,15700
62,13779
62,8923
62,8792
62,12990
62,17077
62,13425
62,16822
62,8897
62,16843
62,9141
62,13142
62,15520
62,9385
62,8861
62,17048
62,13666
62,10211
62,8804
62,16872
62,13645
62,8771
62,14519
62,13444
62,8874
62,10372
62,9084
62,16881
62,14899
62,16810
62,8854
62,8858
62,16822
62,9087
62,10307
62,16888
62,16904
62,17125
62,10533
62,11905
62,16935
62,15591
62,11519
62,17843
62,18678
62,18768
62,18425
64,10915
64,8670
64,8633
64,12460
64,11882
64,8719
64,14300
64,10373
64,13279
64,12707
64,15772
64,15619
64,13447
64,15594
64,14757
64,16083
64,18708
64,14120
64,14765
64,16339
64,11446
64,15482
64,12629
64,16447
64,13647
64,12659
64,16424
64,16315
64,16700
64,15310
64,16370
64,18260
64,17032
64,12389
64,16127
64,16416
64,16585
64,15849
64,15529
64,8769
64,14383
64,16654
64,16356
64,14835
64,11557
64,15718
64,16494
64,12203
64,16628
64,14123
64,10122
64,14552
64,16468
64,15378
64,19583
64,8650
64,16539
64,15830
64,16522
64,16805
64,16875
64,14967
64,16419
64,23714
