Completion time,threads,time
Completion time,28,20762
Completion time (no IO),28,18807
Completion time,28,22556
Completion time (no IO),28,20263
Completion time,30,22025
Completion time (no IO),30,19894
Completion time,30,22019
Completion time (no IO),30,19902
Completion time,30,23017
Completion time (no IO),30,20839
Completion time,30,21088
Completion time (no IO),30,19117
Completion time,30,23253
Completion time (no IO),30,21090
Completion time,32,21032
Completion time (no IO),32,19024
Completion time,32,23703
Completion time (no IO),32,21640
Completion time,32,21257
Completion time (no IO),32,19293
Completion time,32,23347
Completion time (no IO),32,21188
Completion time,32,21021
Completion time (no IO),32,18854
Completion time,34,27719
Completion time (no IO),34,25592
Completion time,34,23377
Completion time (no IO),34,21316
Completion time,34,25495
Completion time (no IO),34,23369
Completion time,34,23574
Completion time (no IO),34,21585
Completion time,34,26075
Completion time (no IO),34,23990
Completion time,36,23833
Completion time (no IO),36,21802
Completion time,36,26156
Completion time (no IO),36,23998
Completion time,36,25756
Completion time (no IO),36,23606
Completion time,36,23091
Completion time (no IO),36,21138
Completion time,36,26444
Completion time (no IO),36,24336
Completion time,38,22607
Completion time (no IO),38,20639
Completion time,38,25268
Completion time (no IO),38,23124
Completion time,38,23025
Completion time (no IO),38,21086
Completion time,38,24950
Completion time (no IO),38,22837
Completion time,38,25012
Completion time (no IO),38,22900
Completion time,40,22696
Completion time (no IO),40,20749
Completion time,40,25264
Completion time (no IO),40,23166
Completion time,40,23457
Completion time (no IO),40,21463
Completion time,40,25910
Completion time (no IO),40,23781
Completion time,40,23421
Completion time (no IO),40,21448
Completion time,42,26164
Completion time (no IO),42,24060
Completion time,42,23361
Completion time (no IO),42,21382
Completion time,42,24912
Completion time (no IO),42,22848
Completion time,42,22936
Completion time (no IO),42,20975
Completion time,42,22494
Completion time (no IO),42,20519
Completion time,44,26295
Completion time (no IO),44,24180
Completion time,44,23235
Completion time (no IO),44,21293
Completion time,44,24797
Completion time (no IO),44,22770
Completion time,44,22635
Completion time (no IO),44,20695
Completion time,44,24802
Completion time (no IO),44,22714
Completion time,46,23263
Completion time (no IO),46,21295
Completion time,46,25614
Completion time (no IO),46,23535
Completion time,46,23241
Completion time (no IO),46,21283
Completion time,46,24856
Completion time (no IO),46,22797
Completion time,46,23400
Completion time (no IO),46,21439
Completion time,48,25375
Completion time (no IO),48,23326
Completion time,48,24025
Completion time (no IO),48,22007
Completion time,48,25872
Completion time (no IO),48,23771
Completion time,48,23750
Completion time (no IO),48,21788
Completion time,48,25591
Completion time (no IO),48,23455
Completion time,50,23698
Completion time (no IO),50,21732
Completion time,50,25912
Completion time (no IO),50,23819
Completion time,50,23579
Completion time (no IO),50,21626
Completion time,50,26054
Completion time (no IO),50,23932
Completion time,50,23997
Completion time (no IO),50,22041
Completion time,52,25819
Completion time (no IO),52,23732
Completion time,52,23778
Completion time (no IO),52,21814
Completion time,52,26432
Completion time (no IO),52,24322
Completion time,52,24196
Completion time (no IO),52,22176
Completion time,52,27412
Completion time (no IO),52,25321
Completion time,54,24613
Completion time (no IO),54,22610
Completion time,54,26543
Completion time (no IO),54,24332
Completion time,54,30150
Completion time (no IO),54,28209
Completion time,54,26531
Completion time (no IO),54,24276
Completion time,54,23957
Completion time (no IO),54,22006
Completion time,56,26665
Completion time (no IO),56,24537
Completion time,56,24914
Completion time (no IO),56,22972
Completion time,56,26855
Completion time (no IO),56,24747
Completion time,56,23969
Completion time (no IO),56,22009
Completion time,56,25426
Completion time (no IO),56,23266
Completion time,58,24627
Completion time (no IO),58,22697
Completion time,58,26748
Completion time (no IO),58,24689
Completion time,58,24112
Completion time (no IO),58,22156
Completion time,58,26729
Completion time (no IO),58,24632
Completion time,58,26334
Completion time (no IO),58,24282
Completion time,60,25206
Completion time (no IO),60,23209
Completion time,60,26850
Completion time (no IO),60,24808
Completion time,60,26364
Completion time (no IO),60,24353
Completion time,60,27527
Completion time (no IO),60,25440
Completion time,60,24978
Completion time (no IO),60,22973
Completion time,62,27757
Completion time (no IO),62,25676
Completion time,62,25448
Completion time (no IO),62,23444
Completion time,62,27664
Completion time (no IO),62,25573
Completion time,62,26373
Completion time (no IO),62,24418
Completion time,62,25252
Completion time (no IO),62,23273
Completion time,64,30619
Completion time (no IO),64,28507
Completion time,64,28025
Completion time (no IO),64,26065
Completion time,64,29607
Completion time (no IO),64,27539
Completion time,64,27455
Completion time (no IO),64,25501
Completion time,64,30501
Completion time (no IO),64,28393
