Completion time,threads,time
Completion time,1,70444
Completion time (no IO),1,68182
Completion time,1,67678
Completion time (no IO),1,65642
Completion time,1,69306
Completion time (no IO),1,67174
Completion time,1,66072
Completion time (no IO),1,63997
Completion time,1,70681
Completion time (no IO),1,68524
Completion time,2,41881
Completion time (no IO),2,39835
Completion time,2,42560
Completion time (no IO),2,40470
Completion time,2,43517
Completion time (no IO),2,41506
Completion time,2,42937
Completion time (no IO),2,40882
Completion time,2,43121
Completion time (no IO),2,41073
Completion time,4,27252
Completion time (no IO),4,25102
Completion time,4,28357
Completion time (no IO),4,26211
Completion time,4,28769
Completion time (no IO),4,26728
Completion time,4,28118
Completion time (no IO),4,26066
Completion time,4,27846
Completion time (no IO),4,25807
Completion time,6,25951
Completion time (no IO),6,23796
Completion time,6,26039
Completion time (no IO),6,23554
Completion time,6,26343
Completion time (no IO),6,23842
Completion time,6,25539
Completion time (no IO),6,23273
Completion time,6,26120
Completion time (no IO),6,23608
Completion time,8,23419
Completion time (no IO),8,21124
Completion time,8,24538
Completion time (no IO),8,22105
Completion time,8,23744
Completion time (no IO),8,21301
Completion time,8,24110
Completion time (no IO),8,22038
Completion time,8,24264
Completion time (no IO),8,22083
Completion time,10,25314
Completion time (no IO),10,22907
Completion time,10,25860
Completion time (no IO),10,23615
Completion time,10,25181
Completion time (no IO),10,23091
Completion time,10,25091
Completion time (no IO),10,22862
Completion time,10,24899
Completion time (no IO),10,22725
Completion time,12,23413
Completion time (no IO),12,21385
Completion time,12,24299
Completion time (no IO),12,22205
Completion time,12,24050
Completion time (no IO),12,21863
Completion time,12,25022
Completion time (no IO),12,22895
Completion time,12,24286
Completion time (no IO),12,22249
Completion time,14,24588
Completion time (no IO),14,22125
Completion time,14,24341
Completion time (no IO),14,21983
Completion time,14,23938
Completion time (no IO),14,21877
Completion time,14,23754
Completion time (no IO),14,21582
Completion time,14,24398
Completion time (no IO),14,22223
Completion time,16,23537
Completion time (no IO),16,21467
Completion time,16,23859
Completion time (no IO),16,21587
Completion time,16,24586
Completion time (no IO),16,22431
Completion time,16,24707
Completion time (no IO),16,22388
Completion time,16,23946
Completion time (no IO),16,21912
Completion time,18,25127
Completion time (no IO),18,22907
Completion time,18,26431
Completion time (no IO),18,24089
Completion time,18,24182
Completion time (no IO),18,21966
Completion time,18,25941
Completion time (no IO),18,23893
Completion time,18,24539
Completion time (no IO),18,22468
Completion time,20,24229
Completion time (no IO),20,22196
Completion time,20,23202
Completion time (no IO),20,20963
Completion time,20,22446
Completion time (no IO),20,20406
Completion time,20,23050
Completion time (no IO),20,20818
Completion time,20,21933
Completion time (no IO),20,19898
Completion time,22,22246
Completion time (no IO),22,20028
Completion time,22,22865
Completion time (no IO),22,20813
Completion time,22,22980
Completion time (no IO),22,20758
Completion time,22,22171
Completion time (no IO),22,20118
Completion time,22,23408
Completion time (no IO),22,21159
Completion time,24,22734
Completion time (no IO),24,20681
Completion time,24,23066
Completion time (no IO),24,20987
Completion time,24,23370
Completion time (no IO),24,21359
Completion time,24,23340
Completion time (no IO),24,21095
Completion time,24,22899
Completion time (no IO),24,20841
Completion time,26,23224
Completion time (no IO),26,21067
Completion time,26,22661
Completion time (no IO),26,20544
Completion time,26,23031
Completion time (no IO),26,20739
Completion time,26,22551
Completion time (no IO),26,20522
Completion time,26,22860
Completion time (no IO),26,20709
Completion time,28,20626
Completion time (no IO),28,18617
Completion time,28,22010
Completion time (no IO),28,19923
Completion time,28,22290
Completion time (no IO),28,20234
